Date,cpi,wpi,ppi,cash_rate,cpi_yoy,wpi_yoy,ppi_yoy,cash_rate_yoy,cpi_roll3,cpi_roll12,wpi_roll3,wpi_roll12,ppi_roll3,ppi_roll12,cpi_volatility,flag_cpi_spike,flag_rate_hike,gross_claims_domestic_motor,gross_claims_householders,net_claims_domestic_motor,net_claims_householders,gwp_domestic_motor,gwp_householders,insurance_revenue_domestic_motor,insurance_revenue_householders,loss_ratio_householders,loss_ratio_domestic_motor,gross_claims_domestic_motor_yoy,gross_claims_householders_yoy,cpi_lag1q,cpi_lag2q,cpi_lag3q,cpi_lag4q,cpi_lag5q,cpi_lag6q,wpi_lag1q,wpi_lag2q,wpi_lag3q,wpi_lag4q,wpi_lag5q,wpi_lag6q,ppi_lag1q,ppi_lag2q,ppi_lag3q,ppi_lag4q,ppi_lag5q,ppi_lag6q,cash_rate_lag1q,cash_rate_lag2q,cash_rate_lag3q,cash_rate_lag4q,cash_rate_lag5q,cash_rate_lag6q,cpi_yoy_lag1q,cpi_yoy_lag2q,cpi_yoy_lag3q,wpi_yoy_lag1q,wpi_yoy_lag2q,wpi_yoy_lag3q,ppi_yoy_lag1q,ppi_yoy_lag2q,ppi_yoy_lag3q,quarter
2023-12-31,,149.3,148.0,4.35,,3.465003465003469,4.298801973220567,22.881355932203373,,,148.83333333333334,146.63333333333335,147.06666666666666,144.48333333333332,,0,1,3709000000,3647000000,2495000000,2521000000,3921000000,3823000000,3753000000,3568000000,0.9539628563955009,0.9459321601632237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2024-03-31,,150.2,150.3,4.35,,3.443526170798905,4.884856943475224,7.407407407407396,,,149.89999999999998,148.3,149.53333333333333,146.66666666666666,,0,1,3249000000,2645000000,2342000000,2034000000,4216000000,3659000000,3832000000,3657000000,0.7228751024870184,0.7706356736242884,,,,,,,,,149.3,,,,,,148.0,,,,,,4.35,,,,,,,,,3.465003465003469,,,4.298801973220567,,,1
2024-06-30,96.52,151.1,152.3,4.35,,2.1636240703177823,4.889807162534443,1.3986013986013957,,,150.79999999999998,150.05,151.63333333333335,149.86666666666667,,0,1,3595000000,2060000000,2376000000,1420000000,4372000000,4005000000,3991000000,3764000000,0.5143570536828964,0.8222781335773102,,,,,,,,,150.2,149.3,,,,,150.3,148.0,,,,,4.35,4.35,,,,,,,,3.443526170798905,3.465003465003469,,4.884856943475224,4.298801973220567,,2
2024-09-30,96.54,153.1,153.7,4.35,,1.9307589880159792,2.262142381902854,0.0,,,152.4333333333333,151.13333333333333,153.23333333333332,151.86666666666667,,0,1,3664000000,1804000000,2535000000,1430000000,4338000000,3970000000,4171000000,3837000000,0.4544080604534005,0.8446288612263716,,,96.52,,,,,,151.1,150.2,149.3,,,,152.3,150.3,148.0,,,,4.35,4.35,4.35,,,,,,,2.1636240703177823,3.443526170798905,3.465003465003469,4.889807162534443,4.884856943475224,4.298801973220567,3
2024-12-31,97.31,154.1,154.3,4.35,0.8184832159138011,1.985440105890146,1.3131976362442455,0.0,,,153.76666666666665,152.6,154.1,153.33333333333334,,0,1,3575000000,2112000000,2468000000,1677000000,4323000000,4220000000,4286000000,3921000000,0.500473933649289,0.8269720101781171,-3.612833647883529,-42.089388538524815,96.54,96.52,,,,,153.1,151.1,150.2,149.3,,,153.7,152.3,150.3,148.0,,,4.35,4.35,4.35,4.35,,,,,,1.9307589880159792,2.1636240703177823,3.443526170798905,2.262142381902854,4.889807162534443,4.884856943475224,4
2025-03-31,97.96,155.3,154.6,4.1,1.4708928941371324,1.4369693011103912,0.5855562784645496,-5.747126436781613,,,154.9,153.96666666666667,154.5,154.15,0.5192780335370883,0,1,3673000000,4698000000,2527000000,2223000000,4562000000,4009000000,4277000000,3981000000,1.1718633075579945,0.8051293292415607,13.050169282856272,77.61814744801512,97.31,96.54,96.52,,,,154.1,153.1,151.1,150.2,149.3,,154.3,153.7,152.3,150.3,148.0,,4.35,4.35,4.35,4.35,4.35,,0.8184832159138011,,,1.985440105890146,1.9307589880159792,2.1636240703177823,1.3131976362442455,2.262142381902854,4.889807162534443,1
2025-06-30,98.34,156.2,155.7,3.85,1.0584729215908029,1.3627514600908386,0.9073233959818294,-11.494252873563205,,,155.9,155.05,155.33333333333331,154.68333333333334,0.5385134882778833,0,0,3795000000,1737000000,2570000000,1533000000,4645000000,4269000000,4403000000,4102000000,0.40688685874912156,0.8170075349838536,5.56328233657859,-15.679611650485437,97.96,97.31,96.54,96.52,,,155.3,154.1,153.1,151.1,150.2,149.3,154.6,154.3,153.7,152.3,150.3,148.0,4.1,4.35,4.35,4.35,4.35,4.35,1.4708928941371324,0.8184832159138011,,1.4369693011103912,1.985440105890146,1.9307589880159792,0.5855562784645496,1.3131976362442455,2.262142381902854,2
2025-09-30,100.0,158.3,157.7,3.6,2.0824826459779677,1.931745009658714,2.005174644243213,-12.195121951219502,,,157.60000000000002,156.25,157.03333333333333,155.66666666666666,0.46419824190769254,0,0,3854000000,1996000000,2595000000,1580000000,4612000000,4282000000,4521000000,4223000000,0.4661373190098085,0.8356461405030355,5.185589519650646,10.643015521064303,98.34,97.96,97.31,96.54,96.52,,156.2,155.3,154.1,153.1,151.1,150.2,155.7,154.6,154.3,153.7,152.3,150.3,3.85,4.1,4.35,4.35,4.35,4.35,1.0584729215908029,1.4708928941371324,0.8184832159138011,1.3627514600908386,1.4369693011103912,1.985440105890146,0.9073233959818294,0.5855562784645496,1.3131976362442455,3
2025-12-31,100.97,159.4,159.5,3.6,2.674394956274151,2.0486555697823317,2.440590879897253,-6.493506493506496,,,159.03333333333333,157.78333333333333,158.9,157.33333333333331,0.4164531403407793,0,0,4316000000,5443000000,2889000000,3596000000,4568000000,4492000000,4610000000,4314000000,1.2117097061442565,0.9448336252189142,20.727272727272727,157.71780303030303,100.0,98.34,97.96,97.31,96.54,96.52,158.3,156.2,155.3,154.1,153.1,151.1,157.7,155.7,154.6,154.3,153.7,152.3,3.6,3.85,4.1,4.35,4.35,4.35,2.0824826459779677,1.0584729215908029,1.4708928941371324,1.931745009658714,1.3627514600908386,1.4369693011103912,2.005174644243213,0.9073233959818294,0.5855562784645496,4
